Spanish La Liga,,,,,,
Team,GP,Won,Draw,Loss,GF,GA
Real Madrid,16,12,4,0,45,14
Sevilla,17,11,3,3,36,21
Barcelona,17,10,5,2,42,17
Atlético Madrid,17,9,4,4,31,14
Villarreal,17,8,6,3,26,12
Real Sociedad,17,9,2,6,28,25
Athletic Club,17,8,3,6,22,19
Las Palmas,17,6,6,5,27,24
Celta de Vigo,17,7,3,7,28,32
Eibar,17,6,5,6,22,22
Espanyol,17,5,8,4,21,23
Deportivo Alavés,17,5,7,5,15,17
Málaga,17,5,6,6,26,29
Real Betis,17,6,3,8,20,29
Deportivo La Coruña,17,4,5,8,23,28
Leganés,17,4,4,9,13,29
Valencia,16,3,4,9,24,32
Sporting Gijón,17,3,3,11,17,34
Granada,17,1,6,10,14,38
Osasuna,17,1,5,11,16,37
